इंग्लिश चैनल
एड्रियाटिक सागर
पीला सागर
अरबी सागर
बाल्टिक सागर
श्वेत सागर
कैंटाब्रियन सागर
कैरेबियन सागर
कैस्पियन सागर
सेल्टिक सागर
अल्बोरान सागर
अंडमान सागर
अराफ़ुरा सागर
अराल सागर
आज़ोव सागर
बांडा सागर
बारेंट्स सागर
बेरिंग सागर
बिस्मार्क सागर
सेलेबेस सागर
दक्षिण चीन सागर
पूर्वी चीन सागर
कोरल सागर
फिलिपीन सागर
फ्रिसियन सागर
हलमहेरा सागर
आयरिश सागर
मारमरा सागर
ओख़ोत्स्क सागर
सोलोमन सागर
पूर्वी साइबेरियाई सागर
सुलु सागर
तस्मान सागर
तिमोर सागर
उत्तरी सागर
एजियन सागर
सेतो आंतरिक सागर
आयोनियन सागर
कारा सागर
लाप्तेव सागर
भूमध्य सागर
मृत सागर
काला सागर
लाल सागर
टायर्रहेनियन सागर
